destination_id,nr_listings,from_price,currency_code,parent_id1,type1,slug1,parent_id2,type2,slug2,parent_id3,type3,slug3,concat,name
1708,11,47500,USD,3470,state,central-coast-california,3490,country,usa,0,continent,the-americas-and-caribbean,www.bookyogaretreats.com/all/d/the-americas-and-caribbean/usa/central-coast-california,Central Coast California
1738,3,53000,EUR,2874,state,central-macedonia,2968,country,greece,0,continent,europe,www.bookyogaretreats.com/all/d/europe/greece/central-macedonia,Central Macedonia
2535,12,77000,EUR,2372,state,central-province,2805,country,sri-lanka,0,continent,asia-and-oceania,www.bookyogaretreats.com/all/d/asia-and-oceania/sri-lanka/central-province,Central Province
3059,24,12000,EUR,3276,state,centro,2968,country,portugal,0,continent,europe,www.bookyogaretreats.com/all/d/europe/portugal/centro,Centro
2418,4,29500,EUR,2675,state,cereceda,2968,country,spain,0,continent,europe,www.bookyogaretreats.com/all/d/europe/spain/cereceda,Cereceda
5464,3,39000,EUR,2948,state,cesenatico,2968,country,italy,0,continent,europe,www.bookyogaretreats.com/all/d/europe/italy/cesenatico,Cesenatico
3552,7,46000,EUR,2874,state,chania,2968,country,greece,0,continent,europe,www.bookyogaretreats.com/all/d/europe/greece/chania,Chania
551,5,58000,GBP,3235,state,charente,2968,country,france,0,continent,europe,www.bookyogaretreats.com/all/d/europe/france/charente,Charente
1907,3,240000,USD,952,state,chengdu,2805,country,china,0,continent,asia-and-oceania,www.bookyogaretreats.com/all/d/asia-and-oceania/china/chengdu,Chengdu
2037,22,298000,THB,3513,state,chiang-mai,2805,country,thailand,0,continent,asia-and-oceania,www.bookyogaretreats.com/all/d/asia-and-oceania/thailand/chiang-mai,Chiang Mai
2600,7,1365000,THB,3513,state,chiang-rai,2805,country,thailand,0,continent,asia-and-oceania,www.bookyogaretreats.com/all/d/asia-and-oceania/thailand/chiang-rai,Chiang Rai
3557,4,1365000,THB,3513,state,chiang-rai-province,2805,country,thailand,0,continent,asia-and-oceania,www.bookyogaretreats.com/all/d/asia-and-oceania/thailand/chiang-rai-province,Chiang Rai Province
3478,7,110000,EUR,2948,state,chianti,2968,country,italy,0,continent,europe,www.bookyogaretreats.com/all/d/europe/italy/chianti,Chianti
2751,4,195000,USD,3490,country,chile,0,continent,the-americas-and-caribbean,NULL,NULL,NULL,www.bookyogaretreats.com/all/d/the-americas-and-caribbean/chile,Chile
952,4,240000,USD,2805,country,china,0,continent,asia-and-oceania,NULL,NULL,NULL,www.bookyogaretreats.com/all/d/asia-and-oceania/china,China
722,5,92500,USD,3340,state,chirripo,3490,country,costa-rica,0,continent,the-americas-and-caribbean,www.bookyogaretreats.com/all/d/the-americas-and-caribbean/costa-rica/chirripo,ChirripÕ_
254,7,125000,EUR,2585,state,chowara,2805,country,india,0,continent,asia-and-oceania,www.bookyogaretreats.com/all/d/asia-and-oceania/india/chowara,Chowara
1805,8,438000,THB,3513,state,chumphon,2805,country,thailand,0,continent,asia-and-oceania,www.bookyogaretreats.com/all/d/asia-and-oceania/thailand/chumphon,Chumphon
