Ad state,Ad,Description line 1,Description line 2,Display URL,Final URL,Device preference type,Campaign,Ad group,Ad type
enabled,Best Yoga Retreats 2016,15 Deals in Kuta!,Compare and Book from Top Packages,www.BookYogaRetreats.com/Kuta,www.bookyogaretreats.com/all/d/asia-and-oceania/indonesia/kuta,All,Longtail Indonesia - Kuta,Longtail Retreats Kuta,Text ad
enabled,Best Yoga Retreats 2016,4 Deals in Lanjarón!,Compare and Book from Top Packages,www.BookYogaRetreats.com/Lanjaron,www.bookyogaretreats.com/all/d/europe/spain/lanjaron,All,Longtail Spain - Lanjarón,Longtail Retreats Lanjarón,Text ad
enabled,Best Yoga Retreats 2016,4 Deals in Caceres!,Compare and Book from Top Packages,www.BookYogaRetreats.com/Caceres,www.bookyogaretreats.com/all/d/europe/spain/caceres,All,Longtail Spain - Caceres,Longtail Retreats Caceres,Text ad
enabled,Best Yoga Retreats 2016,9 Deals in South Aegean!,Compare and Book from Top Packages,www.BookYogaRetreats.com,www.bookyogaretreats.com/all/d/europe/greece/south-aegean,All,Longtail Greece - South Aegean,Longtail Retreats South Aegean,Text ad
enabled,Best Yoga Retreats 2016,3 Deals in Emilia-Romagna!,Compare and Book from Top Packages,www.BookYogaRetreats.com,www.bookyogaretreats.com/all/d/europe/italy/emilia-romagna,All,Longtail Italy - Emilia-Romagna,Longtail Retreats Emilia-Romagna,Text ad
enabled,Best Yoga Retreats 2016,11 Deals in Central Coast California!,Compare and Book from Top Packages,www.BookYogaRetreats.com,www.bookyogaretreats.com/all/d/the-americas-and-caribbean/usa/central-coast-california,All,Longtail USA - Central Coast California,Longtail Retreats Central Coast California,Text ad
enabled,Best Yoga Retreats 2016,4 Deals in Pererenan!,Compare and Book from Top Packages,www.BookYogaRetreats.com/Pererenan,www.bookyogaretreats.com/all/d/asia-and-oceania/indonesia/pererenan,All,Longtail Indonesia - Pererenan,Longtail Retreats Pererenan,Text ad
enabled,Best Yoga Retreats 2016,6 Deals in Gili Air!,Compare and Book from Top Packages,www.BookYogaRetreats.com/GiliAir,www.bookyogaretreats.com/all/d/asia-and-oceania/indonesia/gili-air,All,Longtail Indonesia - Gili Air,Longtail Retreats Gili Air,Text ad
enabled,Best Yoga Retreats 2016,12 Deals in Marbella!,Compare and Book from Top Packages,www.BookYogaRetreats.com/Marbella,www.bookyogaretreats.com/all/d/europe/spain/marbella,All,Longtail Spain - Marbella,Longtail Retreats Marbella,Text ad
enabled,Best Yoga Retreats 2016,14 Deals in Valencia!,Compare and Book from Top Packages,www.BookYogaRetreats.com/Valencia,www.bookyogaretreats.com/all/d/europe/spain/valencia,All,Longtail Spain - Valencia,Longtail Retreats Valencia,Text ad
enabled,Best Yoga Retreats 2016,4 Deals in Monda!,Compare and Book from Top Packages,www.BookYogaRetreats.com/Monda,www.bookyogaretreats.com/all/d/europe/spain/monda,All,Longtail Spain - Monda,Longtail Retreats Monda,Text ad
enabled,Best Yoga Retreats 2016,5 Deals in Styria!,Compare and Book from Top Packages,www.BookYogaRetreats.com/Styria2,www.bookyogaretreats.com/all/d/europe/slovenia/styria--2,All,Longtail Slovenia - Styria,Longtail Retreats Styria,Text ad
enabled,Best Yoga Retreats 2016,3 Deals in Liscannor!,Compare and Book from Top Packages,www.BookYogaRetreats.com/Liscannor,www.bookyogaretreats.com/all/d/europe/ireland/liscannor,All,Longtail Ireland - Liscannor,Longtail Retreats Liscannor,Text ad
enabled,Best Yoga Retreats 2016,3 Deals in Central Macedonia!,Compare and Book from Top Packages,www.BookYogaRetreats.com,www.bookyogaretreats.com/all/d/europe/greece/central-macedonia,All,Longtail Greece - Central Macedonia,Longtail Retreats Central Macedonia,Text ad
enabled,Best Yoga Retreats 2016,10 Deals in Nusa Lembongan!,Compare and Book from Top Packages,www.BookYogaRetreats.com,www.bookyogaretreats.com/all/d/asia-and-oceania/indonesia/nusa-lembongan,All,Longtail Indonesia - Nusa Lembongan,Longtail Retreats Nusa Lembongan,Text ad
enabled,Best Yoga Retreats 2016,4 Deals in South Island!,Compare and Book from Top Packages,www.BookYogaRetreats.com,www.bookyogaretreats.com/all/d/asia-and-oceania/new-zealand/south-island,All,Longtail New Zealand - South Island,Longtail Retreats South Island,Text ad
enabled,Best Yoga Retreats 2016,4 Deals in Mambal!,Compare and Book from Top Packages,www.BookYogaRetreats.com/Mambal,www.bookyogaretreats.com/all/d/asia-and-oceania/indonesia/mambal,All,Longtail Indonesia - Mambal,Longtail Retreats Mambal,Text ad
enabled,Best Yoga Retreats 2016,3 Deals in North Holland!,Compare and Book from Top Packages,www.BookYogaRetreats.com,www.bookyogaretreats.com/all/d/europe/netherlands/north-holland,All,Longtail Netherlands - North Holland,Longtail Retreats North Holland,Text ad
enabled,Best Yoga Retreats 2016,8 Deals in Phato!,Compare and Book from Top Packages,www.BookYogaRetreats.com/Phato,www.bookyogaretreats.com/all/d/asia-and-oceania/thailand/phato,All,Longtail Thailand - Phato,Longtail Retreats Phato,Text ad
